Label,Full Name,Combination,Dry,Normal,Oily,Sensitive,Hazard (bio) Score,Price (Euro),Online Review,img_url,Product Utilities,
Moisturizer,FRESH Black Tea Kombucha Antioxidant Essence,1,1,1,1,0,5,100,4.6,https://www.fresh.com/dw/image/v2/BDJQ_PRD/on/demandware.static/-/Sites-fresh_master_catalog/default/dw48fc5f11/product_images/H00004384_main_pdp.jpg?sw=800&sh=800&bgcolor=F7F7F8&sfrm=jpg,N/A ,
Moisturizer,TATCHA Pure One Step Camellia Cleansing Oil,1,1,1,1,1,5,47,4.7,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41EvasjsEPS.jpg,14,
Moisturizer,OLEHENRIKSEN Sheer Transformation® Perfecting Moisturizer,1,1,1,1,1,1,38,4.5,https://www.sephora.com/productimages/sku/s1928092-main-zoom.jpg,249,
Moisturizer,JOSIE MARAN 100 percent Pure Argan Oil,0,1,0,1,1,2,42,4.5,https://www.sephora.com/productimages/sku/s1121797-main-zoom.jpg,12569,
Moisturizer,IT COSMETICS Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,1,1,1,1,0,10,41,4.2,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51IwY1WpoGL.jpg,8,
Moisturizer,FARSÁLI Unicorn Essence Antioxidant Primer Serum,1,1,1,1,0,7,55,4.5,https://cdn.shopify.com/s/files/1/1623/3645/products/UnicornEssenceclosed_3736f14e-874f-4bbe-a326-57522791d953.png?v=1644965430,8,
Moisturizer,LANEIGE Water Sleeping Mask,1,1,1,1,1,8,27,4.4,https://www.sephora.com/productimages/sku/s2535243-main-zoom.jpg,18,
Moisturizer,LANEIGE Water Bank Moisture Cream,0,1,1,0,1,8,37,4.2,https://m.media-amazon.com/images/I/51wzBir3qkL._SL1001_.jpg,18,
Moisturizer,SK-II Facial Treatment Essence Mini,1,1,1,1,1,3,120,4.1,https://www.sephora.com/productimages/sku/s1448612-main-zoom.jpg,89,
Moisturizer,DR. JART+ Premium Beauty Balm SPF 45,0,1,0,0,0,8,56,4.4,https://cdn.cosmostore.org/cache/front/shop/products/94/222540/350x350.jpg,98,
Moisturizer,TATCHA Luminous Dewy Skin Mist,1,1,1,0,1,7,45,4,https://www.sephora.com/productimages/sku/s1742337-main-zoom.jpg,8,
Moisturizer,SHISEIDO Benefiance WrinkleResist24 Night Cream,0,1,1,0,0,8,72,4.5,https://cdn.cosmostore.org/cache/front/shop/products/307/986317/350x350.jpg,48,
Moisturizer,CLINIQUE Dramatically Different Moisturizing Gel,1,0,0,1,0,6,29,4.8,https://www.sephora.com/productimages/sku/s789727-main-zoom.jpg,8,
